Method,Model,Accuracy,Precision,Recall,F1
rfe,ANN,0.7530864197530864,0.7627725006396171,0.7530864197530864,0.7481580265410009
rfe,CNN,0.7604938271604939,0.7633268177688941,0.7604938271604939,0.7604420089251778
skb,ANN,0.7481481481481481,0.7480758176475966,0.7481481481481481,0.7433866721379089
skb,CNN,0.7432098765432099,0.7542551020451695,0.7432098765432099,0.7454206388218072
fscs,ANN,0.7209876543209877,0.7288710236369216,0.7209876543209877,0.7178364902328818
fscs,CNN,0.7308641975308642,0.7437293690231648,0.7308641975308642,0.7319102612574653
etc,ANN,0.7679012345679013,0.7654195358856901,0.7679012345679013,0.7633960045035604
etc,CNN,0.7679012345679013,0.7837772079722385,0.7679012345679013,0.76865629385695
pc,ANN,0.762962962962963,0.76139042519368,0.762962962962963,0.7596113863385948
pc,CNN,0.7703703703703704,0.7715800946829373,0.7703703703703704,0.7700964628046405
mi,ANN,0.7604938271604939,0.7632430052808331,0.7604938271604939,0.7555695945946048
mi,CNN,0.7283950617283951,0.7386840689322446,0.7283950617283951,0.7310342585447183
mir,ANN,0.7481481481481481,0.7463948605280429,0.7481481481481481,0.746099510075862
mir,CNN,0.762962962962963,0.7649709813473687,0.762962962962963,0.7626113468014175
mu,ANN,0.7111111111111111,0.7070341315003266,0.7111111111111111,0.7079886462515054
mu,CNN,0.7432098765432099,0.7564963890545287,0.7432098765432099,0.7459711822858844
vt,ANN,0.7802469135802469,0.7791566507216625,0.7802469135802469,0.7776845441930859
vt,CNN,0.7975308641975308,0.7979952069588778,0.7975308641975308,0.7971301949730323
