Method,Model,Accuracy,Precision,Recall,F1
rfe,ANN,0.7802469135802469,0.7802625870358066,0.7802469135802469,0.7789347054383141
rfe,CNN,0.7728395061728395,0.7818197299884314,0.7728395061728395,0.7752796222125354
skb,ANN,0.7901234567901234,0.7951170763369674,0.7901234567901234,0.7871970438294865
skb,CNN,0.7703703703703704,0.7807747236202521,0.7703703703703704,0.7722287200976493
fscs,ANN,0.8024691358024691,0.8043827913387153,0.8024691358024691,0.8016782725297084
fscs,CNN,0.8098765432098766,0.812062951316096,0.8098765432098766,0.8107148338986466
etc,ANN,0.7876543209876543,0.7862631740564672,0.7876543209876543,0.7850053653477836
etc,CNN,0.8197530864197531,0.8260938524264995,0.8197530864197531,0.8214604957113998
pc,ANN,0.8123456790123457,0.816733550759124,0.8123456790123457,0.810226065290645
pc,CNN,0.7753086419753087,0.7890709716087349,0.7753086419753087,0.777025473207586
mi,ANN,0.782716049382716,0.7823285767983681,0.782716049382716,0.7803891585045507
mi,CNN,0.8,0.8064953128474,0.8,0.801344626366706
mir,ANN,0.817283950617284,0.8212675375907835,0.817283950617284,0.8163469912164445
mir,CNN,0.8419753086419753,0.8449764285591977,0.8419753086419753,0.8425877682562435
mu,ANN,0.7802469135802469,0.7807344688133,0.7802469135802469,0.7783532772178287
mu,CNN,0.8,0.8091092946608793,0.8,0.8011648385472897
vt,ANN,0.8024691358024691,0.8050179154821309,0.8024691358024691,0.8016925283442241
vt,CNN,0.8098765432098766,0.8114171052315383,0.8098765432098766,0.8099320330773545
