Feature,Weight,Class
PHQ4 <= -0.98,0.1549771221769044,Minimal
PHQ7 <= -0.61,0.1472736948301794,Minimal
PHQ2 <= -0.75,0.1320210459942925,Minimal
PHQ6 <= -0.75,0.13042961876366058,Minimal
PHQ5 <= -0.48,0.1120496307219942,Minimal
PHQ9 <= -1.04,0.041698349590157294,Minimal
PSS2 <= -0.28,0.030570188656598045,Minimal
-0.29 < PSS1 <= 0.56,0.020547705701960028,Minimal
PSS5 > 0.76,-0.008810373510973316,Minimal
PSS3 <= -0.64,-0.008566633164635046,Minimal
PSS9 <= -0.36,0.007330608782969065,Minimal
-0.37 < PSS10 <= 0.49,0.006868128913884525,Minimal
-0.30 < PSS4 <= 0.51,-0.00543036615082041,Minimal
PHQ4 <= -0.98,0.15771981073325309,Mild
PHQ7 <= -0.61,0.1508611651651167,Mild
PHQ6 <= -0.75,0.1290653191053696,Mild
PHQ2 <= -0.75,0.12293498742001734,Mild
PHQ5 <= -0.48,0.10628957875026876,Mild
-1.04 < PHQ9 <= -0.16,0.045541599832485506,Mild
PSS10 <= -0.37,-0.013655260283767756,Mild
PSS1 <= -0.29,-0.011536368434100752,Mild
PSS5 <= -0.16,0.011400394660689882,Mild
PSS4 <= -0.30,0.01022428603062361,Mild
PSS2 <= -0.28,0.007829472995739705,Mild
PSS3 <= -0.64,0.007366322665331958,Mild
PSS9 <= -0.36,0.0003439265514856832,Mild
PHQ7 <= -0.61,0.13942629601331136,Moderate
PHQ6 <= -0.75,0.12180901252454733,Moderate
-0.48 < PHQ5 <= 0.48,-0.056790527948722254,Moderate
-1.04 < PHQ9 <= -0.16,0.047950581040954315,Moderate
-0.98 < PHQ4 <= 0.04,-0.03810646775825792,Moderate
-0.75 < PHQ2 <= 0.20,-0.032045822905234674,Moderate
-0.30 < PSS4 <= 0.51,-0.016907041306865028,Moderate
PSS10 <= -0.37,-0.01308181707364852,Moderate
-0.36 < PSS9 <= 1.32,-0.011887124868741564,Moderate
PSS1 > 0.56,0.011515046461037437,Moderate
-0.28 < PSS2 <= 0.59,-0.01103767473191673,Moderate
-0.16 < PSS5 <= 0.76,-0.008153141526958585,Moderate
-0.64 < PSS3 <= 0.25,0.0016602555028883516,Moderate
0.36 < PHQ7 <= 1.33,-0.11426939294977977,Moderately Severe
0.04 < PHQ4 <= 1.07,-0.11383234143891544,Moderately Severe
0.20 < PHQ2 <= 1.16,-0.10651910714101599,Moderately Severe
PHQ5 <= -0.48,0.09605983911947599,Moderately Severe
-0.75 < PHQ6 <= 0.19,-0.02707977527583855,Moderately Severe
PHQ9 <= -1.04,0.02678343814369469,Moderately Severe
PSS2 > 0.59,-0.018856592313410022,Moderately Severe
PSS4 <= -0.30,0.009296840302811735,Moderately Severe
PSS5 <= -0.16,0.0045619651836296985,Moderately Severe
0.25 < PSS3 <= 1.15,-0.002663392215085558,Moderately Severe
PSS9 <= -0.36,0.0021515245716477323,Moderately Severe
-0.37 < PSS10 <= 0.49,-0.0020837354469668006,Moderately Severe
-0.29 < PSS1 <= 0.56,0.0010342946465480413,Moderately Severe
0.04 < PHQ4 <= 1.07,-0.10968965446201212,Severe
0.36 < PHQ7 <= 1.33,-0.10442808231215588,Severe
0.20 < PHQ2 <= 1.16,-0.09660656452984255,Severe
0.19 < PHQ6 <= 1.12,-0.0895061392485971,Severe
PHQ5 <= -0.48,0.08833022705852919,Severe
PHQ9 <= -1.04,0.030732788936900915,Severe
PSS2 <= -0.28,0.019995088656982865,Severe
PSS1 <= -0.29,-0.01699472813813904,Severe
PSS4 <= -0.30,0.013110761662516275,Severe
PSS5 <= -0.16,0.00820713932478533,Severe
PSS10 <= -0.37,-0.006914939062991268,Severe
0.25 < PSS3 <= 1.15,0.005238180751486,Severe
PSS9 <= -0.36,0.004203440091861172,Severe
