class,class_name,feature_raw,feature_base,feature_desc,weight
1,Mild,PHQ4 <= 0.33,PHQ4,Fatigue or Low Energy,0.18178670781922496
1,Mild,PHQ7 <= 0.33,PHQ7,Difficulty Concentrating,0.17415025772407833
1,Mild,PHQ6 <= 0.33,PHQ6,Feelings of Worthlessness,0.14346406028312175
1,Mild,PHQ9 <= 0.00,PHQ9,Suicidal Thoughts,0.13138229016386307
1,Mild,PHQ5 <= 0.33,PHQ5,Appetite or Weight Changes,0.12122451388134484
1,Mild,0.33 < PHQ2 <= 0.67,PHQ2,Low Mood or Hopelessness,-0.04787326148563468
1,Mild,PSS1 <= 0.50,PSS1,Emotional Response to Setbacks,-0.023284917022122043
1,Mild,PSS2 <= 0.50,PSS2,Sense of Control Over Academics,0.021441405556871473
1,Mild,PSS4 > 0.75,PSS4,Confidence in Coping Abilities,-0.021392062877266072
1,Mild,PSS9 <= 0.50,PSS9,Frustration With Academic Results,0.010492514192532706
