Accuracy,Precision,Recall,F1,Method,Model,Optimizer,TimeSec,OptFolder,SourceFile
0.7876543209876543,0.7879100229434902,0.7876543209876543,0.7868788029704153,rfe,Logistic Regression,Randomized,6.985701560974121,orfe,randomized_search_results.csv
0.7654320987654321,0.7707390295281243,0.7654320987654321,0.7661332782853902,rfe,Gradient Boosting,Randomized,88.20533418655396,orfe,randomized_search_results.csv
0.7333333333333333,0.7405905941783208,0.7333333333333333,0.7305845760163577,rfe,KNN,Randomized,0.9998910427093506,orfe,randomized_search_results.csv
0.762962962962963,0.7706172109410685,0.762962962962963,0.7642620668724472,rfe,Random Forest,Randomized,21.50601315498352,orfe,randomized_search_results.csv
0.7111111111111111,0.7115649273078809,0.7111111111111111,0.7099328509508274,rfe,Decision Tree,Randomized,0.366579532623291,orfe,randomized_search_results.csv
0.7777777777777778,0.7781809274181074,0.7777777777777778,0.777325863642584,rfe,SVM,Randomized,9.691906213760376,orfe,randomized_search_results.csv
0.7876543209876543,0.7886274129339851,0.7876543209876543,0.7871443551932665,rfe,Logistic Regression,Grid,0.0879311561584472,orfe,grid_search_results.csv
0.7358024691358025,0.7393271898229653,0.7358024691358025,0.735712304154863,rfe,Gradient Boosting,Grid,25.581424236297607,orfe,grid_search_results.csv
0.7209876543209877,0.7289332466808021,0.7209876543209877,0.718708320396207,rfe,KNN,Grid,0.4792461395263672,orfe,grid_search_results.csv
0.7679012345679013,0.7746309979758615,0.7679012345679013,0.7688641297362491,rfe,Random Forest,Grid,4.936997413635254,orfe,grid_search_results.csv
0.6888888888888889,0.7036492953405539,0.6888888888888889,0.683657757475706,rfe,Decision Tree,Grid,0.2070760726928711,orfe,grid_search_results.csv
0.7753086419753087,0.7779815650595793,0.7753086419753087,0.7747174599193378,rfe,SVM,Grid,3.0668089389801025,orfe,grid_search_results.csv
0.7876543209876543,0.7886274129339851,0.7876543209876543,0.7871443551932665,rfe,Logistic Regression,Bayes,15.414624214172363,orfe,bayes_search_results.csv
0.7654320987654321,0.7687602628012322,0.7654320987654321,0.7659902298228127,rfe,Gradient Boosting,Bayes,222.1317675113678,orfe,bayes_search_results.csv
0.7135802469135802,0.7201249536379026,0.7135802469135802,0.7114143025946372,rfe,KNN,Bayes,69.18969798088074,orfe,bayes_search_results.csv
0.7802469135802469,0.7873793705992711,0.7802469135802469,0.7818311490464626,rfe,Random Forest,Bayes,113.65590929985046,orfe,bayes_search_results.csv
0.7037037037037037,0.7070987701557286,0.7037037037037037,0.7036571630931329,rfe,Decision Tree,Bayes,72.10307669639587,orfe,bayes_search_results.csv
0.7703703703703704,0.7734883765775706,0.7703703703703704,0.7700708360193131,rfe,SVM,Bayes,66.08830857276917,orfe,bayes_search_results.csv
0.7901234567901234,0.7911687718850705,0.7901234567901234,0.7890762813842568,skb,Logistic Regression,Randomized,4.678386211395264,oskb,randomized_search_results.csv
0.7308641975308642,0.732487049140644,0.7308641975308642,0.7283134658740048,skb,Gradient Boosting,Randomized,78.39132356643677,oskb,randomized_search_results.csv
0.6839506172839506,0.6849269946638369,0.6839506172839506,0.6737213416847014,skb,KNN,Randomized,0.7790663242340088,oskb,randomized_search_results.csv
0.7283950617283951,0.733476302604843,0.7283950617283951,0.7257046933493324,skb,Random Forest,Randomized,19.37475824356079,oskb,randomized_search_results.csv
0.6320987654320988,0.6337864457444893,0.6320987654320988,0.6309898433334105,skb,Decision Tree,Randomized,0.3504636287689209,oskb,randomized_search_results.csv
0.7654320987654321,0.7657690451664938,0.7654320987654321,0.7653015157592012,skb,SVM,Randomized,9.872467756271362,oskb,randomized_search_results.csv
0.7901234567901234,0.791502472129668,0.7901234567901234,0.7890148834596109,skb,Logistic Regression,Grid,0.4046809673309326,oskb,grid_search_results.csv
0.7432098765432099,0.7423291532614339,0.7432098765432099,0.7414733879242686,skb,Gradient Boosting,Grid,23.7644464969635,oskb,grid_search_results.csv
0.6666666666666666,0.6666209273811886,0.6666666666666666,0.6600883194794641,skb,KNN,Grid,0.4522223472595215,oskb,grid_search_results.csv
0.7432098765432099,0.743629151155229,0.7432098765432099,0.7418926609578359,skb,Random Forest,Grid,3.3991525173187256,oskb,grid_search_results.csv
0.6493827160493827,0.6547595816557037,0.6493827160493827,0.6479783536958162,skb,Decision Tree,Grid,0.1348826885223388,oskb,grid_search_results.csv
0.7753086419753087,0.7764764522312346,0.7753086419753087,0.7754009579206504,skb,SVM,Grid,1.8324131965637207,oskb,grid_search_results.csv
0.7901234567901234,0.7911687718850705,0.7901234567901234,0.7890762813842568,skb,Logistic Regression,Bayes,70.2349796295166,oskb,bayes_search_results.csv
