Model,Accuracy,Precision,Recall,F1,Feature Set
Logistic Regression,0.8419753086419753,0.8407285815972938,0.8419753086419753,0.8409320388894963,ETC
SVM,0.817283950617284,0.8168259971494506,0.817283950617284,0.8162557171619267,ETC
Random Forest,0.8,0.8022371866816312,0.8,0.8007639303836486,ETC
Gradient Boosting,0.7802469135802469,0.7821259774406484,0.7802469135802469,0.780741083081455,ETC
KNN,0.7530864197530864,0.7536893757718178,0.7530864197530864,0.7529142940372929,ETC
Decision Tree,0.6888888888888889,0.6886312429406434,0.6888888888888889,0.6880238582521789,ETC
Logistic Regression,0.8197530864197531,0.8246302923288871,0.8197530864197531,0.8190469976119586,FSCS
SVM,0.8123456790123457,0.8148891518562502,0.8123456790123457,0.8118711789720239,FSCS
Gradient Boosting,0.7901234567901234,0.7937686705519716,0.7901234567901234,0.7896386746164098,FSCS
Random Forest,0.7802469135802469,0.7834617621317675,0.7802469135802469,0.7791909303700274,FSCS
KNN,0.745679012345679,0.7478718906715982,0.745679012345679,0.7455343849248038,FSCS
Decision Tree,0.6888888888888889,0.6868679044132929,0.6888888888888889,0.684341725412373,FSCS
Logistic Regression,0.817283950617284,0.8186726327148609,0.817283950617284,0.8174306846476589,MI
Gradient Boosting,0.7975308641975308,0.7977694957331583,0.7975308641975308,0.7971723727631476,MI
SVM,0.7950617283950617,0.7955825856732611,0.7950617283950617,0.7938015979532945,MI
Random Forest,0.7728395061728395,0.773462245365674,0.7728395061728395,0.7726195962300132,MI
KNN,0.7333333333333333,0.7303829428897847,0.7333333333333333,0.7309307148846482,MI
Decision Tree,0.674074074074074,0.6744307355287924,0.674074074074074,0.6722120027236096,MI
Logistic Regression,0.8419753086419753,0.8450117580105633,0.8419753086419753,0.8421104449508211,MIR
SVM,0.8246913580246914,0.8279169308495357,0.8246913580246914,0.8255272738383632,MIR
Gradient Boosting,0.817283950617284,0.8183323090428515,0.817283950617284,0.8174159104282973,MIR
Random Forest,0.8049382716049382,0.8056310315199203,0.8049382716049382,0.8051696748172655,MIR
KNN,0.7679012345679013,0.7659481184513673,0.7679012345679013,0.7661505032383926,MIR
Decision Tree,0.7185185185185186,0.7209447746927535,0.7185185185185186,0.7194946911760146,MIR
Gradient Boosting,0.8049382716049382,0.8073430230861279,0.8049382716049382,0.805639380382641,MU
Logistic Regression,0.7975308641975308,0.7989424680001769,0.7975308641975308,0.7976103406443533,MU
SVM,0.7925925925925926,0.7960146673657253,0.7925925925925926,0.7935579700444791,MU
Random Forest,0.7851851851851852,0.7910666987140644,0.7851851851851852,0.7864853383840612,MU
KNN,0.7407407407407407,0.7378239943726719,0.7407407407407407,0.738478060655344,MU
Decision Tree,0.7160493827160493,0.7145158418554108,0.7160493827160493,0.7143796210222044,MU
Logistic Regression,0.817283950617284,0.8186726327148609,0.817283950617284,0.8174306846476589,PC
Gradient Boosting,0.7975308641975308,0.7977694957331583,0.7975308641975308,0.7971723727631476,PC
SVM,0.7950617283950617,0.7955825856732611,0.7950617283950617,0.7938015979532945,PC
Random Forest,0.762962962962963,0.7629824977756807,0.762962962962963,0.7621507240965505,PC
KNN,0.7333333333333333,0.7303829428897847,0.7333333333333333,0.7309307148846482,PC
Decision Tree,0.674074074074074,0.6744307355287924,0.674074074074074,0.6722120027236096,PC
Logistic Regression,0.8296296296296296,0.8303969359480818,0.8296296296296296,0.8295628279544742,RFE
SVM,0.7975308641975308,0.7978240652808554,0.7975308641975308,0.7965852141941581,RFE
Random Forest,0.7777777777777778,0.7807140746252367,0.7777777777777778,0.7788726299075526,RFE
Gradient Boosting,0.7753086419753087,0.7764896434509965,0.7753086419753087,0.7754119491907655,RFE
KNN,0.7530864197530864,0.7517178504353998,0.7530864197530864,0.7520466568578141,RFE
Decision Tree,0.7135802469135802,0.7118877399705297,0.7135802469135802,0.7120195508604586,RFE
Logistic Regression,0.817283950617284,0.8186726327148609,0.817283950617284,0.8174306846476589,SKB
Gradient Boosting,0.7975308641975308,0.7977694957331583,0.7975308641975308,0.7971723727631476,SKB
SVM,0.7950617283950617,0.7955825856732611,0.7950617283950617,0.7938015979532945,SKB
Random Forest,0.7679012345679013,0.768500020976594,0.7679012345679013,0.7677908615250333,SKB
KNN,0.7333333333333333,0.7303829428897847,0.7333333333333333,0.7309307148846482,SKB
Decision Tree,0.671604938271605,0.671533107279543,0.671604938271605,0.6693522678311218,SKB
Logistic Regression,0.8493827160493828,0.8517747267684276,0.8493827160493828,0.8497039234964492,VT
Gradient Boosting,0.8074074074074075,0.8106870949805393,0.8074074074074075,0.8083164035138459,VT
SVM,0.8074074074074075,0.8106948887637588,0.8074074074074075,0.8069908632231226,VT
Random Forest,0.782716049382716,0.7883873699111446,0.782716049382716,0.7839153394851904,VT
KNN,0.7407407407407407,0.7449919712008842,0.7407407407407407,0.7422964563529824,VT
Decision Tree,0.7111111111111111,0.7170397618897901,0.7111111111111111,0.7114250452647526,VT
