Feature,Weight,Class
PHQ4 <= -0.98,0.15398152493342623,Minimal
PHQ7 <= -0.61,0.1419917293308589,Minimal
PHQ2 <= -0.75,0.1293124552899328,Minimal
PHQ6 <= -0.75,0.11717331480219978,Minimal
PHQ5 <= -0.48,0.0987045017073465,Minimal
PHQ9 <= -1.04,0.03353522246420663,Minimal
PSS2 <= -0.28,0.023566323007967786,Minimal
PSS5 > 0.76,-0.01848052854882879,Minimal
-0.30 < PSS4 <= 0.51,-0.016010381536602503,Minimal
-0.37 < PSS10 <= 0.49,-0.008183257337394398,Minimal
PSS3 <= -0.64,0.0025503810493447865,Minimal
-0.29 < PSS1 <= 0.56,0.0015372800991837535,Minimal
PSS9 <= -0.36,-0.0010128765687071356,Minimal
PHQ4 <= -0.98,0.16188192668973558,Mild
PHQ7 <= -0.61,0.14233823045555957,Mild
PHQ2 <= -0.75,0.13123063590952608,Mild
PHQ6 <= -0.75,0.12908254840700106,Mild
PHQ5 <= -0.48,0.10360435328405114,Mild
-1.04 < PHQ9 <= -0.16,0.04614511790988052,Mild
PSS2 <= -0.28,0.021981648849655484,Mild
PSS1 <= -0.29,-0.015812386200586087,Mild
PSS10 <= -0.37,-0.014469533027241265,Mild
PSS4 <= -0.30,0.010134971494484222,Mild
PSS5 <= -0.16,0.008382513171294985,Mild
PSS9 <= -0.36,0.008063785236871618,Mild
PSS3 <= -0.64,-0.0012642838002017713,Mild
PHQ7 <= -0.61,0.13725175633058317,Moderate
PHQ6 <= -0.75,0.111777666603683,Moderate
-0.48 < PHQ5 <= 0.48,-0.04724715900175233,Moderate
-1.04 < PHQ9 <= -0.16,0.04549116412583086,Moderate
-0.75 < PHQ2 <= 0.20,-0.04062495280653405,Moderate
-0.98 < PHQ4 <= 0.04,-0.03536644256687396,Moderate
-0.30 < PSS4 <= 0.51,-0.011593785759608502,Moderate
-0.28 < PSS2 <= 0.59,-0.007523888043949237,Moderate
-0.36 < PSS9 <= 1.32,-0.007276060723838,Moderate
PSS10 <= -0.37,-0.006541380206184475,Moderate
PSS1 > 0.56,0.0051397834306028106,Moderate
-0.64 < PSS3 <= 0.25,0.0026459851090152747,Moderate
-0.16 < PSS5 <= 0.76,0.0012442036936190874,Moderate
0.36 < PHQ7 <= 1.33,-0.1125266444035138,Moderately Severe
0.04 < PHQ4 <= 1.07,-0.11145423572724666,Moderately Severe
0.20 < PHQ2 <= 1.16,-0.09934361351374914,Moderately Severe
PHQ5 <= -0.48,0.09840116699346554,Moderately Severe
-0.75 < PHQ6 <= 0.19,-0.0239795890169332,Moderately Severe
PHQ9 <= -1.04,0.019437230376835053,Moderately Severe
PSS2 > 0.59,-0.01674206567291089,Moderately Severe
PSS4 <= -0.30,0.01090548536615816,Moderately Severe
0.25 < PSS3 <= 1.15,0.00801164440801917,Moderately Severe
PSS9 <= -0.36,0.004937541308161058,Moderately Severe
-0.37 < PSS10 <= 0.49,0.0041224291974218214,Moderately Severe
PSS5 <= -0.16,0.004052163445720483,Moderately Severe
-0.29 < PSS1 <= 0.56,0.0021008465471911777,Moderately Severe
0.36 < PHQ7 <= 1.33,-0.1125675391365012,Severe
0.04 < PHQ4 <= 1.07,-0.10699245600787723,Severe
0.20 < PHQ2 <= 1.16,-0.10277993714625082,Severe
PHQ5 <= -0.48,0.10024984881482256,Severe
0.19 < PHQ6 <= 1.12,-0.09772267677103388,Severe
PHQ9 <= -1.04,0.029140521801261563,Severe
PSS5 <= -0.16,0.01648959702479965,Severe
PSS2 <= -0.28,0.013320737394507126,Severe
PSS1 <= -0.29,-0.011808524118753843,Severe
PSS10 <= -0.37,-0.009527683466907385,Severe
0.25 < PSS3 <= 1.15,-0.006981269889640928,Severe
PSS9 <= -0.36,0.005358972329450139,Severe
PSS4 <= -0.30,-0.0002901963520978858,Severe
