Feature,Weight
PHQ7 <= -0.61,0.13725175633058317
PHQ6 <= -0.75,0.111777666603683
-0.48 < PHQ5 <= 0.48,-0.04724715900175233
-1.04 < PHQ9 <= -0.16,0.04549116412583086
-0.75 < PHQ2 <= 0.20,-0.04062495280653405
-0.98 < PHQ4 <= 0.04,-0.03536644256687396
-0.30 < PSS4 <= 0.51,-0.011593785759608502
-0.28 < PSS2 <= 0.59,-0.007523888043949237
-0.36 < PSS9 <= 1.32,-0.007276060723838
PSS10 <= -0.37,-0.006541380206184475
PSS1 > 0.56,0.0051397834306028106
-0.64 < PSS3 <= 0.25,0.0026459851090152747
-0.16 < PSS5 <= 0.76,0.0012442036936190874
