Feature,Weight
0.36 < PHQ7 <= 1.33,-0.1125266444035138
0.04 < PHQ4 <= 1.07,-0.11145423572724666
0.20 < PHQ2 <= 1.16,-0.09934361351374914
PHQ5 <= -0.48,0.09840116699346554
-0.75 < PHQ6 <= 0.19,-0.0239795890169332
PHQ9 <= -1.04,0.019437230376835053
PSS2 > 0.59,-0.01674206567291089
PSS4 <= -0.30,0.01090548536615816
0.25 < PSS3 <= 1.15,0.00801164440801917
PSS9 <= -0.36,0.004937541308161058
-0.37 < PSS10 <= 0.49,0.0041224291974218214
PSS5 <= -0.16,0.004052163445720483
-0.29 < PSS1 <= 0.56,0.0021008465471911777
