Feature,Weight
PHQ7 <= -0.61,0.13942629601331136
PHQ6 <= -0.75,0.12180901252454733
-0.48 < PHQ5 <= 0.48,-0.056790527948722254
-1.04 < PHQ9 <= -0.16,0.047950581040954315
-0.98 < PHQ4 <= 0.04,-0.03810646775825792
-0.75 < PHQ2 <= 0.20,-0.032045822905234674
-0.30 < PSS4 <= 0.51,-0.016907041306865028
PSS10 <= -0.37,-0.01308181707364852
-0.36 < PSS9 <= 1.32,-0.011887124868741564
PSS1 > 0.56,0.011515046461037437
-0.28 < PSS2 <= 0.59,-0.01103767473191673
-0.16 < PSS5 <= 0.76,-0.008153141526958585
-0.64 < PSS3 <= 0.25,0.0016602555028883516
