Feature,Weight
0.36 < PHQ7 <= 1.33,-0.11426939294977977
0.04 < PHQ4 <= 1.07,-0.11383234143891544
0.20 < PHQ2 <= 1.16,-0.10651910714101599
PHQ5 <= -0.48,0.09605983911947599
-0.75 < PHQ6 <= 0.19,-0.02707977527583855
PHQ9 <= -1.04,0.02678343814369469
PSS2 > 0.59,-0.018856592313410022
PSS4 <= -0.30,0.009296840302811735
PSS5 <= -0.16,0.0045619651836296985
0.25 < PSS3 <= 1.15,-0.002663392215085558
PSS9 <= -0.36,0.0021515245716477323
-0.37 < PSS10 <= 0.49,-0.0020837354469668006
-0.29 < PSS1 <= 0.56,0.0010342946465480413
