Model,features,Recursive Feature Elimination (RFE),Select K Best (SKB),Fisher Score Chi-Square Test (FSCS),Extra Trees Classifier (ETC),Pearson Correlation (PC),Mutual Information (MI),Mutual Info Regression (MIR),Manual Uniqueness (MU),Variance Threshold (VT)
Logistic Regression,features1,0.7876543209876543,0.7901234567901234,0.7679012345679013,0.8,0.7901234567901234,0.7876543209876543,0.7703703703703704,0.7283950617283951,0.8049382716049382
,features2,0.8148148148148148,0.817283950617284,0.8123456790123457,0.837037037037037,0.8246913580246914,0.817283950617284,0.8395061728395061,0.8,0.8271604938271605
,features3,0.8246913580246914,0.817283950617284,0.817283950617284,0.8296296296296296,0.8246913580246914,0.817283950617284,0.8567901234567902,0.7975308641975308,0.8271604938271605
,features4,0.8296296296296296,0.817283950617284,0.8197530864197531,0.8419753086419753,0.817283950617284,0.817283950617284,0.8419753086419753,0.7975308641975308,0.8493827160493828
Gradient Boosting,features1,0.7358024691358025,0.7432098765432099,0.7604938271604939,0.762962962962963,0.7407407407407407,0.7333333333333333,0.7481481481481481,0.7061728395061728,0.7703703703703704
,features2,0.7876543209876543,0.7728395061728395,0.7679012345679013,0.782716049382716,0.762962962962963,0.7728395061728395,0.7851851851851852,0.782716049382716,0.7802469135802469
,features3,0.7925925925925926,0.7950617283950617,0.7876543209876543,0.7851851851851852,0.7901234567901234,0.7950617283950617,0.8074074074074075,0.7703703703703704,0.782716049382716
,features4,0.7753086419753087,0.7975308641975308,0.7901234567901234,0.7802469135802469,0.7975308641975308,0.7975308641975308,0.817283950617284,0.8049382716049382,0.8074074074074075
K-Nearest Neighbour (KNN),features1,0.7185185185185186,0.6666666666666666,0.6617283950617284,0.6987654320987654,0.6666666666666666,0.7061728395061728,0.691358024691358,0.6395061728395062,0.6790123456790124
,features2,0.7061728395061728,0.7308641975308642,0.7185185185185186,0.7185185185185186,0.7012345679012346,0.7308641975308642,0.7086419753086419,0.6641975308641975,0.7308641975308642
,features3,0.7851851851851852,0.7604938271604939,0.7506172839506173,0.7580246913580246,0.7506172839506173,0.7604938271604939,0.7580246913580246,0.7037037037037037,0.7382716049382716
,features4,0.7530864197530864,0.7333333333333333,0.745679012345679,0.7530864197530864,0.7333333333333333,0.7333333333333333,0.7679012345679013,0.7407407407407407,0.7407407407407407
Random Forest,features1,0.7703703703703704,0.7234567901234568,0.7283950617283951,0.762962962962963,0.7432098765432099,0.7407407407407407,0.7555555555555555,0.7209876543209877,0.7481481481481481
,features2,0.7925925925925926,0.7802469135802469,0.7975308641975308,0.7777777777777778,0.782716049382716,0.7703703703703704,0.7901234567901234,0.7555555555555555,0.7654320987654321
,features3,0.7901234567901234,0.7753086419753087,0.7901234567901234,0.7925925925925926,0.7753086419753087,0.7777777777777778,0.7777777777777778,0.7901234567901234,0.7753086419753087
,features4,0.7777777777777778,0.7679012345679013,0.7802469135802469,0.8,0.762962962962963,0.7728395061728395,0.8049382716049382,0.7851851851851852,0.782716049382716
