Model,Working,Recursive Feature Elimination (RFE),Select K Best (SKB),Fisher Score Chi-Square Test (FSCS),Extra Trees Classifier (ETC),Pearson Correlation (PC),Mutual Information (MI),Mutual Info Regression (MIR),Manual Uniqueness (MU),Variance Threshold (VT)
Logistic Regression,Working1,78.77,79.01,76.79,80.00,79.01,78.77,76.79,73.33,80.49
,Working2,81.98,81.73,81.23,83.70,82.96,81.73,84.20,80.49,82.72
,Working3,82.47,81.98,81.98,82.96,82.47,81.98,85.68,79.75,82.96
,Working4,82.96,81.73,81.98,84.20,81.73,81.73,84.44,79.26,84.44
Gradient Boosting,Working1,73.58,74.32,76.05,76.30,74.07,73.33,74.81,70.62,75.06
,Working2,78.77,77.28,76.79,78.27,76.30,77.28,76.54,78.27,78.02
,Working3,79.26,79.51,78.77,78.52,79.01,79.51,80.74,77.04,78.27
,Working4,77.53,79.75,79.01,78.02,79.75,79.75,79.26,80.49,78.52
K-Nearest Neighbour (KNN),Working1,72.10,66.67,67.90,72.35,66.67,70.62,71.60,68.64,71.36
,Working3,71.60,71.60,71.85,74.32,71.11,71.60,72.84,68.64,73.83
,Working3,78.02,76.54,76.79,76.30,75.31,76.79,78.02,72.59,77.04
,Working4,74.81,74.81,73.33,76.30,74.81,74.81,75.80,71.60,77.04
Random Forest,Working1,76.79,74.32,72.84,74.57,73.09,75.31,74.81,72.84,76.54
,Working2,78.52,78.02,79.26,79.51,77.53,78.27,78.27,78.52,79.51
,Working3,78.52,77.28,77.53,78.52,78.27,80.49,80.49,79.01,79.75
,Working4,78.27,78.02,78.02,78.27,77.78,77.28,81.73,79.75,80.49
Decision Tree,Working1,68.89,64.94,68.89,67.90,64.94,65.19,70.86,65.68,71.11
,Working2,73.33,68.89,73.83,67.90,68.15,68.89,69.14,66.67,72.10
,Working3,73.33,66.17,70.12,68.40,66.17,66.17,68.89,70.37,72.10
,Working4,74.07,70.12,72.59,73.58,70.37,69.88,71.60,71.11,70.86
Support Vector Machine (SVM),Working1,77.53,77.53,76.05,79.01,77.53,76.30,74.57,72.35,79.75
,Working2,81.73,81.48,80.74,81.73,81.73,81.48,81.98,78.77,80.25
,Working3,82.72,81.48,80.00,80.49,81.23,81.48,82.47,76.54,80.74
,Working4,79.75,79.51,81.23,81.73,79.51,79.51,82.47,79.26,80.74
