Model,features,Recursive Feature Elimination (RFE),Select K Best (SKB),Fisher Score Chi-Square Test (FSCS),Extra Trees Classifier (ETC),Pearson Correlation (PC),Mutual Information (MI),Mutual Info Regression (MIR),Manual Uniqueness (MU),Variance Threshold (VT)
Logistic Regression,feature1,78.77,79.01,76.79,80.00,79.01,78.27,76.79,73.33,80.49
,feature2,81.98,81.23,81.23,83.46,82.96,81.23,84.69,80.49,83.21
,feature3,82.47,81.98,81.98,82.72,81.73,81.98,85.43,79.75,82.72
,feature4,82.96,81.73,81.98,84.20,81.73,81.73,83.95,79.26,84.44
Gradient Boosting,feature1,76.54,73.09,73.33,76.79,73.09,73.09,74.57,70.62,78.02
,feature2,79.75,78.52,77.04,76.79,80.25,78.52,79.51,79.26,79.75
,feature3,77.28,78.77,78.77,81.23,78.77,78.77,80.49,77.53,79.75
,feature4,78.77,74.57,77.78,78.02,79.51,79.51,79.75,80.99,82.22
K-Nearest Neighbour (KNN),feature1,73.33,68.40,71.60,73.09,68.40,69.88,71.36,66.91,69.63
,feature2,73.33,73.09,73.33,74.57,70.12,72.84,73.83,68.15,74.57
,feature3,76.54,78.02,76.54,77.04,78.27,78.02,78.77,71.60,78.02
,feature4,75.06,77.28,74.81,75.06,77.28,77.28,79.01,71.85,75.80
Random Forest,feature1,76.30,72.84,75.56,76.30,74.07,73.83,75.06,72.35,76.30
,feature2,78.52,76.54,78.77,79.26,76.79,78.02,81.23,78.52,79.26
,feature3,79.75,77.53,80.00,80.25,79.26,79.26,80.49,77.53,80.00
,feature4,78.02,78.77,80.74,80.74,78.52,76.54,82.22,76.54,78.52
Decision Tree,feature1,71.11,63.21,66.91,68.15,63.70,63.70,73.33,63.46,73.58
,feature2,74.32,67.16,76.54,70.86,66.91,68.40,71.60,70.37,70.86
,feature3,74.32,68.40,75.06,70.37,68.40,70.62,73.33,72.35,73.33
,feature4,74.57,68.89,75.06,71.85,68.40,68.40,69.38,70.62,71.85
Support Vector Machine (SVM),feature1,77.78,76.54,73.83,77.04,76.54,74.81,72.84,69.14,77.53
,feature2,80.99,78.52,80.74,80.99,80.49,78.52,80.49,77.53,80.25
,feature3,79.75,80.25,77.78,79.75,81.48,80.25,79.75,75.56,80.00
,feature4,79.01,79.26,80.74,80.74,79.26,79.26,79.51,79.01,81.48
