Feature,Weight,Class
PHQ4 <= -0.98,0.15290331627758622,Minimal
PHQ7 <= -0.62,0.14874048370448187,Minimal
PHQ2 <= -0.77,0.12581842487147998,Minimal
PHQ6 <= -0.74,0.12400945044519532,Minimal
PHQ5 <= -0.48,0.1088382794879791,Minimal
PHQ9 <= -1.03,0.04095864950889756,Minimal
PSS2 <= -0.28,0.020518225680422063,Minimal
PSS5 > 0.76,-0.01532746146932815,Minimal
PSS9 <= -0.36,0.012471989766932626,Minimal
-0.37 < PSS10 <= 0.48,0.00634938040885263,Minimal
-0.30 < PSS4 <= 0.52,0.004498528142435264,Minimal
-0.30 < PSS1 <= 0.55,-0.0013516113292615542,Minimal
PSS3 <= -0.62,0.00048799276160684706,Minimal
PHQ4 <= -0.98,0.1506102914311966,Mild
PHQ7 <= -0.62,0.14109428646455932,Mild
PHQ2 <= -0.77,0.1296203553340401,Mild
PHQ6 <= -0.74,0.11528484718126615,Mild
PHQ5 <= -0.48,0.10723604942228829,Mild
-1.03 < PHQ9 <= -0.15,0.04575263374453835,Mild
PSS2 <= -0.28,0.019062683965153954,Mild
PSS4 <= -0.30,0.015131304936515095,Mild
PSS1 <= -0.30,-0.012307723026754272,Mild
PSS9 <= -0.36,0.012084577871559933,Mild
PSS10 <= -0.37,-0.0064110088180622336,Mild
PSS5 <= -0.16,0.0042866075609846324,Mild
PSS3 <= -0.62,0.004026196224717763,Mild
PHQ7 <= -0.62,0.14082141498095876,Moderate
PHQ6 <= -0.74,0.12614727789064065,Moderate
-0.48 < PHQ5 <= 0.48,-0.055698155567473415,Moderate
-1.03 < PHQ9 <= -0.15,0.049469704998375046,Moderate
-0.77 < PHQ2 <= 0.20,-0.041998143436499054,Moderate
-0.98 < PHQ4 <= 0.04,-0.036061526737401366,Moderate
PSS10 <= -0.37,-0.016369839787153367,Moderate
-0.28 < PSS2 <= 0.58,-0.008015493569758758,Moderate
PSS1 > 0.55,0.007046633529987686,Moderate
-0.36 < PSS9 <= 1.34,-0.004334454639546647,Moderate
-0.16 < PSS5 <= 0.76,-0.003795944735468467,Moderate
-0.62 < PSS3 <= 0.26,-0.0023449592748560183,Moderate
-0.30 < PSS4 <= 0.52,2.659843230450499e-05,Moderate
0.35 < PHQ7 <= 1.32,-0.11851136758770929,Moderately Severe
0.04 < PHQ4 <= 1.07,-0.1159829429026623,Moderately Severe
0.20 < PHQ2 <= 1.16,-0.10509980291651565,Moderately Severe
PHQ5 <= -0.48,0.09904481775423805,Moderately Severe
-0.74 < PHQ6 <= 0.20,-0.037401294328076456,Moderately Severe
PHQ9 <= -1.03,0.030042666366718502,Moderately Severe
PSS5 <= -0.16,0.015912019639580516,Moderately Severe
PSS4 <= -0.30,0.012306907152376504,Moderately Severe
-0.30 < PSS1 <= 0.55,0.012174467596912627,Moderately Severe
-0.37 < PSS10 <= 0.48,0.00802648149640343,Moderately Severe
PSS2 > 0.58,-0.005941533869365306,Moderately Severe
PSS9 <= -0.36,0.0034852812283477316,Moderately Severe
0.26 < PSS3 <= 1.14,0.0022120304499101085,Moderately Severe
0.20 < PHQ2 <= 1.16,-0.11578114139465875,Severe
0.35 < PHQ7 <= 1.32,-0.11494698580950115,Severe
0.04 < PHQ4 <= 1.07,-0.1149417570613359,Severe
0.20 < PHQ6 <= 1.13,-0.10435783691292481,Severe
PHQ5 <= -0.48,0.09099603081073909,Severe
PHQ9 <= -1.03,0.031022657719087774,Severe
PSS1 <= -0.30,-0.024711165596661536,Severe
PSS4 <= -0.30,0.010177556162191728,Severe
PSS2 <= -0.28,0.009542477958291383,Severe
PSS10 <= -0.37,-0.009413616978491619,Severe
PSS9 <= -0.36,0.002866924400701891,Severe
0.26 < PSS3 <= 1.14,0.0014023154540964955,Severe
PSS5 <= -0.16,0.0013366377908836907,Severe
