Model,Dataset,Accuracy,Precision,Recall,F1
BERT,Dataset1,0.4296296296296296,0.4401067159050352,0.4296296296296296,0.4130359652484164
,Dataset2,0.5259259259259259,0.5170102137231767,0.5259259259259259,0.5185435697995506
,Dataset3,0.4296296296296296,0.4401067159050352,0.4296296296296296,0.4130359652484164
ClinicalBERT,Dataset1,0.4345679012345679,0.4330697065733251,0.4345679012345679,0.4084890940747257
,Dataset2,0.5037037037037037,0.4887894583697052,0.5037037037037037,0.4889826299494298
,Dataset3,0.4345679012345679,0.4330697065733251,0.4345679012345679,0.4084890940747257
DistilBERT,Dataset1,0.4320987654320987,0.4359412122832626,0.4320987654320987,0.4098860543050653
,Dataset2,0.5259259259259259,0.5171921671014127,0.5259259259259259,0.5188848603765112
,Dataset3,0.4320987654320987,0.4359412122832626,0.4320987654320987,0.4098860543050653
BioBERT,Dataset1,0.4074074074074074,0.4133505572416693,0.4074074074074074,0.3930203103417994
,Dataset2,0.491358024691358,0.4790452403427916,0.491358024691358,0.4820765507469814
,Dataset3,0.4074074074074074,0.4133505572416693,0.4074074074074074,0.3930203103417994
ALBERT,Dataset1,0.4123456790123457,0.412117884578736,0.4123456790123457,0.3930856324660449
,Dataset2,0.508641975308642,0.504674239211894,0.508641975308642,0.5038964881547559
,Dataset3,0.4123456790123457,0.412117884578736,0.4123456790123457,0.3930856324660449
