Model,Dataset,Accuracy,Precision,Recall,F1
BERT,Dataset1,42.96,44.01,42.96,41.30
,Dataset2,52.59,51.70,52.59,51.85
,Dataset3,42.96,44.01,42.96,41.30
ClinicalBERT,Dataset1,43.46,43.31,43.46,40.85
,Dataset2,50.37,48.88,50.37,48.90
,Dataset3,43.46,43.31,43.46,40.85
DistilBERT,Dataset1,43.21,43.59,43.21,40.99
,Dataset2,52.59,51.72,52.59,51.89
,Dataset3,43.21,43.59,43.21,40.99
BioBERT,Dataset1,40.74,41.34,40.74,39.30
,Dataset2,49.14,47.90,49.14,48.21
,Dataset3,40.74,41.34,40.74,39.30
ALBERT,Dataset1,41.23,41.21,41.23,39.31
,Dataset2,50.86,50.47,50.86,50.39
,Dataset3,41.23,41.21,41.23,39.31
