Model,Accuracy,Precision,Recall,F1,Method,Optimizer
Logistic Regression,0.8074074074074075,0.8076007022804617,0.8074074074074075,0.8064619684866211,vt,Bayes
Gradient Boosting,0.7950617283950617,0.7948569424964937,0.7950617283950617,0.7915912430778026,vt,Bayes
Random Forest,0.7654320987654321,0.7657786653974025,0.7654320987654321,0.7636558402816095,vt,Bayes
SVM,0.7703703703703704,0.7705504512368254,0.7703703703703704,0.7690909362130356,vt,Bayes
Decision Tree,0.7432098765432099,0.7434856285665113,0.7432098765432099,0.7423331479610801,vt,Bayes
KNN,0.7086419753086419,0.7137049257441952,0.7086419753086419,0.697806623074081,vt,Bayes
Logistic Regression,0.8,0.7984192884368655,0.8,0.7987608641124032,etc,Bayes
SVM,0.7950617283950617,0.795088613571893,0.7950617283950617,0.7938231890527154,etc,Bayes
Random Forest,0.7703703703703704,0.772556085497262,0.7703703703703704,0.7692755167308446,etc,Bayes
Gradient Boosting,0.7604938271604939,0.7620834063700408,0.7604938271604939,0.7580855392724304,etc,Bayes
KNN,0.7234567901234568,0.7297413931095548,0.7234567901234568,0.7204118630212487,etc,Bayes
Decision Tree,0.7234567901234568,0.7209390262101105,0.7234567901234568,0.719512234334384,etc,Bayes
Logistic Regression,0.7901234567901234,0.7911687718850705,0.7901234567901234,0.7890762813842568,skb,Bayes
SVM,0.7703703703703704,0.770248309210173,0.7703703703703704,0.769947202216147,skb,Bayes
Random Forest,0.7358024691358025,0.7383691723064337,0.7358024691358025,0.7335454690430419,skb,Bayes
Gradient Boosting,0.7358024691358025,0.7395999764822148,0.7358024691358025,0.7342404678005106,skb,Bayes
KNN,0.691358024691358,0.6911180840593358,0.691358024691358,0.6866427217632998,skb,Bayes
Decision Tree,0.6320987654320988,0.6348649644505897,0.6320987654320988,0.6332504093627309,skb,Bayes
Logistic Regression,0.7876543209876543,0.7886274129339851,0.7876543209876543,0.7871443551932665,rfe,Bayes
Random Forest,0.7802469135802469,0.7873793705992711,0.7802469135802469,0.7818311490464626,rfe,Bayes
SVM,0.7703703703703704,0.7734883765775706,0.7703703703703704,0.7700708360193131,rfe,Bayes
Gradient Boosting,0.7654320987654321,0.7687602628012322,0.7654320987654321,0.7659902298228127,rfe,Bayes
KNN,0.7135802469135802,0.7201249536379026,0.7135802469135802,0.7114143025946372,rfe,Bayes
Decision Tree,0.7037037037037037,0.7070987701557286,0.7037037037037037,0.7036571630931329,rfe,Bayes
Logistic Regression,0.7901234567901234,0.7911687718850705,0.7901234567901234,0.7890762813842568,pc,Bayes
SVM,0.7703703703703704,0.770248309210173,0.7703703703703704,0.769947202216147,pc,Bayes
Random Forest,0.7333333333333333,0.7367714633057373,0.7333333333333333,0.7299997668139794,pc,Bayes
Gradient Boosting,0.7333333333333333,0.7374303126999194,0.7333333333333333,0.7305619168320135,pc,Bayes
KNN,0.7012345679012346,0.7012650966395138,0.7012345679012346,0.6917968745046176,pc,Bayes
Decision Tree,0.654320987654321,0.656482314534254,0.654320987654321,0.6551424977425775,pc,Bayes
Logistic Regression,0.782716049382716,0.783310470964792,0.782716049382716,0.7810032088282496,mi,Bayes
SVM,0.7654320987654321,0.7678793736265002,0.7654320987654321,0.7659935225548303,mi,Bayes
Random Forest,0.7506172839506173,0.7542761333456651,0.7506172839506173,0.7506023743219983,mi,Bayes
Gradient Boosting,0.7308641975308642,0.7321539161023863,0.7308641975308642,0.7285939205969456,mi,Bayes
KNN,0.6987654320987654,0.7021020112708269,0.6987654320987654,0.6920131963645566,mi,Bayes
Decision Tree,0.6592592592592592,0.6597581369904613,0.6592592592592592,0.6591193454631347,mi,Bayes
Logistic Regression,0.7679012345679013,0.7672775504207979,0.7679012345679013,0.767410831721002,mir,Bayes
Random Forest,0.7580246913580246,0.7605963782241434,0.7580246913580246,0.7570678741957662,mir,Bayes
SVM,0.7432098765432099,0.7425195414605482,0.7432098765432099,0.7422306926066975,mir,Bayes
Gradient Boosting,0.7407407407407407,0.7409460192378596,0.7407407407407407,0.7381597819024994,mir,Bayes
KNN,0.7135802469135802,0.7174895414623046,0.7135802469135802,0.7096020997899048,mir,Bayes
Decision Tree,0.6938271604938272,0.704547694016044,0.6938271604938272,0.6933452556497851,mir,Bayes
Logistic Regression,0.7333333333333333,0.736444418483399,0.7333333333333333,0.733969923077532,mu,Bayes
Gradient Boosting,0.725925925925926,0.7284795449043814,0.725925925925926,0.7245756116586503,mu,Bayes
Random Forest,0.7234567901234568,0.7278495796829977,0.7234567901234568,0.7245396778759436,mu,Bayes
SVM,0.7209876543209877,0.7251020920163649,0.7209876543209877,0.7217523486647135,mu,Bayes
KNN,0.6765432098765433,0.6713264313762067,0.6765432098765433,0.6670211107976896,mu,Bayes
Decision Tree,0.6345679012345679,0.6438981501722972,0.6345679012345679,0.6345110159992821,mu,Bayes
Logistic Regression,0.7654320987654321,0.7720771877804342,0.7654320987654321,0.7664392474251562,fscs,Bayes
Gradient Boosting,0.7506172839506173,0.7577400515927086,0.7506172839506173,0.7509833249214166,fscs,Bayes
SVM,0.7604938271604939,0.7686215427692308,0.7604938271604939,0.7608654174919138,fscs,Bayes
Random Forest,0.7580246913580246,0.7653873285271565,0.7580246913580246,0.7577785234717297,fscs,Bayes
KNN,0.7160493827160493,0.7279684317221321,0.7160493827160493,0.7088993733380712,fscs,Bayes
Decision Tree,0.6765432098765433,0.6819214596730224,0.6765432098765433,0.6759702059940506,fscs,Bayes
Logistic Regression,0.8049382716049382,0.8050983081847279,0.8049382716049382,0.8041277897313581,vt,Grid
SVM,0.7975308641975308,0.798466146613352,0.7975308641975308,0.796489268193943,vt,Grid
Random Forest,0.7654320987654321,0.7652374259107249,0.7654320987654321,0.7628556558997436,vt,Grid
Gradient Boosting,0.7506172839506173,0.7501627256955475,0.7506172839506173,0.748111984993645,vt,Grid
KNN,0.7135802469135802,0.7173162881291112,0.7135802469135802,0.7059136218228781,vt,Grid
Decision Tree,0.7111111111111111,0.711896005765571,0.7111111111111111,0.7085698856940688,vt,Grid
Logistic Regression,0.8,0.7987540649531613,0.8,0.7984704108482832,etc,Grid
SVM,0.7901234567901234,0.7908730001540458,0.7901234567901234,0.7893032796446428,etc,Grid
Gradient Boosting,0.762962962962963,0.7656276265258375,0.762962962962963,0.7639837477837735,etc,Grid
Random Forest,0.745679012345679,0.7482096161180236,0.745679012345679,0.7450532326354667,etc,Grid
KNN,0.7234567901234568,0.7265524485726188,0.7234567901234568,0.7194501915596719,etc,Grid
Decision Tree,0.6790123456790124,0.6864189937291789,0.6790123456790124,0.6716762853129465,etc,Grid
Logistic Regression,0.7901234567901234,0.791502472129668,0.7901234567901234,0.7890148834596109,skb,Grid
SVM,0.7753086419753087,0.7764764522312346,0.7753086419753087,0.7754009579206504,skb,Grid
Gradient Boosting,0.7432098765432099,0.7423291532614339,0.7432098765432099,0.7414733879242686,skb,Grid
Random Forest,0.7432098765432099,0.743629151155229,0.7432098765432099,0.7418926609578359,skb,Grid
KNN,0.6666666666666666,0.6666209273811886,0.6666666666666666,0.6600883194794641,skb,Grid
Decision Tree,0.6493827160493827,0.6547595816557037,0.6493827160493827,0.6479783536958162,skb,Grid
Logistic Regression,0.7876543209876543,0.7886274129339851,0.7876543209876543,0.7871443551932665,rfe,Grid
SVM,0.7753086419753087,0.7779815650595793,0.7753086419753087,0.7747174599193378,rfe,Grid
Random Forest,0.7679012345679013,0.7746309979758615,0.7679012345679013,0.7688641297362491,rfe,Grid
Gradient Boosting,0.7358024691358025,0.7393271898229653,0.7358024691358025,0.735712304154863,rfe,Grid
KNN,0.7209876543209877,0.7289332466808021,0.7209876543209877,0.718708320396207,rfe,Grid
Decision Tree,0.6888888888888889,0.7036492953405539,0.6888888888888889,0.683657757475706,rfe,Grid
Logistic Regression,0.7901234567901234,0.791502472129668,0.7901234567901234,0.7890148834596109,pc,Grid
SVM,0.7753086419753087,0.7764764522312346,0.7753086419753087,0.7754009579206504,pc,Grid
Gradient Boosting,0.7407407407407407,0.7398109083049174,0.7407407407407407,0.7391430865904703,pc,Grid
Random Forest,0.7308641975308642,0.7328098783781931,0.7308641975308642,0.7310087736671844,pc,Grid
KNN,0.6666666666666666,0.6666209273811886,0.6666666666666666,0.6600883194794641,pc,Grid
Decision Tree,0.6493827160493827,0.6547595816557037,0.6493827160493827,0.6479783536958162,pc,Grid
Logistic Regression,0.7876543209876543,0.7876156470428777,0.7876543209876543,0.7857719708975298,mi,Grid
Random Forest,0.7530864197530864,0.757867290287081,0.7530864197530864,0.754341338122746,mi,Grid
SVM,0.762962962962963,0.765043336115074,0.762962962962963,0.763226082591213,mi,Grid
Gradient Boosting,0.7333333333333333,0.7336399703198511,0.7333333333333333,0.7321530813204208,mi,Grid
KNN,0.7061728395061728,0.7057998591979174,0.7061728395061728,0.7010131345149911,mi,Grid
Decision Tree,0.6518518518518519,0.6574194653812226,0.6518518518518519,0.6507592360287038,mi,Grid
Logistic Regression,0.7679012345679013,0.7672775504207979,0.7679012345679013,0.767410831721002,mir,Grid
Gradient Boosting,0.7481481481481481,0.7476798206631285,0.7481481481481481,0.7470344566431874,mir,Grid
Random Forest,0.7481481481481481,0.74717715857723,0.7481481481481481,0.7472743533702885,mir,Grid
SVM,0.745679012345679,0.7454096603586527,0.745679012345679,0.7451173392731347,mir,Grid
