Model,Accuracy,Precision,Recall,F1,Method,Optimizer
Logistic Regression,0.8444444444444444,0.846401606738586,0.8444444444444444,0.8448222544644943,vt,Bayes
Gradient Boosting,0.8098765432098766,0.8144992022732301,0.8098765432098766,0.8115002463543021,vt,Bayes
SVM,0.817283950617284,0.8202380845340157,0.817283950617284,0.8174864714821043,vt,Bayes
Random Forest,0.7876543209876543,0.7911351650795131,0.7876543209876543,0.7886130466115018,vt,Bayes
KNN,0.7506172839506173,0.7556781065902973,0.7506172839506173,0.7507524434724291,vt,Bayes
Decision Tree,0.7209876543209877,0.7292990685042183,0.7209876543209877,0.7204782107252612,vt,Bayes
Logistic Regression,0.8419753086419753,0.8407285815972938,0.8419753086419753,0.8409320388894963,etc,Bayes
SVM,0.8123456790123457,0.8117199639236422,0.8123456790123457,0.8112356513931585,etc,Bayes
Random Forest,0.7950617283950617,0.7957730404206504,0.7950617283950617,0.7946851300680479,etc,Bayes
Gradient Boosting,0.7851851851851852,0.7870958948560733,0.7851851851851852,0.7854971970916214,etc,Bayes
KNN,0.762962962962963,0.7623881402672097,0.762962962962963,0.7607806230179112,etc,Bayes
Decision Tree,0.6888888888888889,0.685354657687991,0.6888888888888889,0.6868007717537437,etc,Bayes
Logistic Regression,0.817283950617284,0.819014139351832,0.817283950617284,0.8179392141796757,skb,Bayes
SVM,0.7925925925925926,0.7919751473103671,0.7925925925925926,0.7913931796619648,skb,Bayes
Gradient Boosting,0.7950617283950617,0.7950311392562648,0.7950617283950617,0.7940658317057451,skb,Bayes
Random Forest,0.7802469135802469,0.7848137555118369,0.7802469135802469,0.7785626142968735,skb,Bayes
KNN,0.745679012345679,0.7456859896080165,0.745679012345679,0.7438525007220511,skb,Bayes
Decision Tree,0.6962962962962963,0.6951051352883292,0.6962962962962963,0.6948701840783786,skb,Bayes
Logistic Regression,0.8296296296296296,0.8300297344867618,0.8296296296296296,0.8295904554605502,rfe,Bayes
Gradient Boosting,0.7950617283950617,0.7980896385339206,0.7950617283950617,0.7956465905953748,rfe,Bayes
SVM,0.7950617283950617,0.7958996590060545,0.7950617283950617,0.7941328408316672,rfe,Bayes
Random Forest,0.7753086419753087,0.7779023272467015,0.7753086419753087,0.7760176855390566,rfe,Bayes
KNN,0.7432098765432099,0.742986099880543,0.7432098765432099,0.7421535429852443,rfe,Bayes
Decision Tree,0.7407407407407407,0.740554744192274,0.7407407407407407,0.7398264848199488,rfe,Bayes
Logistic Regression,0.817283950617284,0.819014139351832,0.817283950617284,0.8179392141796757,pc,Bayes
SVM,0.7925925925925926,0.7919751473103671,0.7925925925925926,0.7913931796619648,pc,Bayes
Gradient Boosting,0.7876543209876543,0.7889932549974388,0.7876543209876543,0.7870860031638266,pc,Bayes
Random Forest,0.7753086419753087,0.7766712711157155,0.7753086419753087,0.7745789211061689,pc,Bayes
KNN,0.745679012345679,0.7456859896080165,0.745679012345679,0.7438525007220511,pc,Bayes
Decision Tree,0.691358024691358,0.6907785731836094,0.691358024691358,0.6901377076408949,pc,Bayes
Logistic Regression,0.817283950617284,0.819014139351832,0.817283950617284,0.8179392141796757,mi,Bayes
SVM,0.7925925925925926,0.7919751473103671,0.7925925925925926,0.7913931796619648,mi,Bayes
Gradient Boosting,0.8098765432098766,0.81060021651909,0.8098765432098766,0.8101218742209426,mi,Bayes
Random Forest,0.7950617283950617,0.797412755957797,0.7950617283950617,0.7946259321776563,mi,Bayes
