Model,Accuracy,Precision,Recall,F1,Feature_Set
Logistic Regression,0.8296296296296296,0.8293495024630776,0.8296296296296296,0.8289615791939862,ETC
SVM,0.8049382716049382,0.8047506882482344,0.8049382716049382,0.803427637399597,ETC
CNN,0.8,0.8023684167428012,0.8,0.7990293021773207,ETC
Random Forest,0.7925925925925926,0.7946364415741926,0.7925925925925926,0.7927592588217,ETC
ANN,0.7925925925925926,0.7929722116829405,0.7925925925925926,0.7895975573738303,ETC
Gradient Boosting,0.7851851851851852,0.7841230151996434,0.7851851851851852,0.7842987960978192,ETC
KNN,0.7580246913580246,0.7556228985124249,0.7580246913580246,0.7547589919144402,ETC
Decision Tree,0.6765432098765433,0.6742015442907979,0.6765432098765433,0.6734902765010684,ETC
Logistic Regression,0.817283950617284,0.8210195178043485,0.817283950617284,0.8178079871980471,FSCS
CNN,0.8074074074074075,0.8084227979618316,0.8074074074074075,0.8064432876468887,FSCS
SVM,0.8,0.8023881561584992,0.8,0.7993949919787962,FSCS
Random Forest,0.7901234567901234,0.7928999689691465,0.7901234567901234,0.7899278783551686,FSCS
Gradient Boosting,0.7876543209876543,0.7912946790380925,0.7876543209876543,0.7859002979595634,FSCS
ANN,0.7851851851851852,0.7841443564621581,0.7851851851851852,0.7833111764393127,FSCS
KNN,0.7506172839506173,0.7570866901389574,0.7506172839506173,0.7512564689112681,FSCS
Decision Tree,0.7234567901234568,0.7215351414672352,0.7234567901234568,0.7202870659610126,FSCS
Logistic Regression,0.817283950617284,0.819935149467385,0.817283950617284,0.8176481853804034,MI
SVM,0.8148148148148148,0.8166562102811359,0.8148148148148148,0.8150580041513833,MI
CNN,0.8098765432098766,0.8139678581844807,0.8098765432098766,0.8107651333335132,MI
Gradient Boosting,0.7950617283950617,0.7986038198052161,0.7950617283950617,0.795123671006909,MI
ANN,0.7950617283950617,0.7947247910822388,0.7950617283950617,0.793791385433399,MI
Random Forest,0.7777777777777778,0.7813520286441292,0.7777777777777778,0.7775776089555065,MI
KNN,0.7604938271604939,0.7664567006970534,0.7604938271604939,0.7602034589908848,MI
Decision Tree,0.6864197530864198,0.6855857505845128,0.6864197530864198,0.6836904228271373,MI
Logistic Regression,0.8567901234567902,0.8579573623843115,0.8567901234567902,0.8563993232123996,MIR
CNN,0.8296296296296296,0.8303169794939547,0.8296296296296296,0.8296859774084125,MIR
SVM,0.8246913580246914,0.8280930325733192,0.8246913580246914,0.82490949557008,MIR
Gradient Boosting,0.8074074074074075,0.8071965356787434,0.8074074074074075,0.8072192334542073,MIR
ANN,0.7975308641975308,0.8003153607121862,0.7975308641975308,0.7957677114597194,MIR
Random Forest,0.7777777777777778,0.7787434738132608,0.7777777777777778,0.7780523634558881,MIR
KNN,0.7580246913580246,0.7586230717917961,0.7580246913580246,0.7571926964798608,MIR
Decision Tree,0.6938271604938272,0.6959596053388196,0.6938271604938272,0.6945812373070227,MIR
Logistic Regression,0.7975308641975308,0.7989527375758513,0.7975308641975308,0.7968103149570304,MU
Random Forest,0.7901234567901234,0.7955908599424033,0.7901234567901234,0.7917054256232755,MU
CNN,0.7802469135802469,0.7954595904114911,0.7802469135802469,0.7824452105333545,MU
ANN,0.7753086419753087,0.7778046281685008,0.7753086419753087,0.7730922186309828,MU
Gradient Boosting,0.7703703703703704,0.7733386955476609,0.7703703703703704,0.7711378337030637,MU
SVM,0.7654320987654321,0.7664943769680611,0.7654320987654321,0.7646369172063945,MU
KNN,0.7037037037037037,0.7073984245603657,0.7037037037037037,0.7031627864825132,MU
Decision Tree,0.6962962962962963,0.6991139769660102,0.6962962962962963,0.697033459927823,MU
Logistic Regression,0.8246913580246914,0.8256812629930171,0.8246913580246914,0.8244913656809834,PC
SVM,0.8123456790123457,0.8134844734088476,0.8123456790123457,0.812268686268781,PC
CNN,0.7901234567901234,0.7963270102372311,0.7901234567901234,0.7917005332508819,PC
Gradient Boosting,0.7901234567901234,0.7916319024123902,0.7901234567901234,0.7896383795221804,PC
Random Forest,0.7753086419753087,0.7785630396820774,0.7753086419753087,0.7757525096144294,PC
ANN,0.7728395061728395,0.787567736339265,0.7728395061728395,0.7657800694354456,PC
KNN,0.7506172839506173,0.7529103515483706,0.7506172839506173,0.7489756117652617,PC
Decision Tree,0.6790123456790124,0.6773080230211996,0.6790123456790124,0.6769957983529492,PC
SVM,0.8271604938271605,0.8285186674064013,0.8271604938271605,0.8271910528461249,RFE
Logistic Regression,0.8246913580246914,0.8263269284321917,0.8246913580246914,0.8251504829125264,RFE
ANN,0.817283950617284,0.8170669488620088,0.817283950617284,0.8164251078029746,RFE
CNN,0.8148148148148148,0.819800349319968,0.8148148148148148,0.8160691613868952,RFE
Gradient Boosting,0.7925925925925926,0.794462390180689,0.7925925925925926,0.7926467336723944,RFE
Random Forest,0.7901234567901234,0.7919711426344871,0.7901234567901234,0.7901252437617508,RFE
KNN,0.7851851851851852,0.7861039798388129,0.7851851851851852,0.7838736923514461,RFE
Decision Tree,0.6864197530864198,0.6858313996014596,0.6864197530864198,0.6858444236355941,RFE
Logistic Regression,0.817283950617284,0.819935149467385,0.817283950617284,0.8176481853804034,SKB
SVM,0.8148148148148148,0.8166562102811359,0.8148148148148148,0.8150580041513833,SKB
ANN,0.8123456790123457,0.8106315804393229,0.8123456790123457,0.8108835771936238,SKB
CNN,0.8,0.8029049102315818,0.8,0.8001652412073922,SKB
Gradient Boosting,0.7950617283950617,0.7986038198052161,0.7950617283950617,0.795123671006909,SKB
Random Forest,0.7753086419753087,0.7787470437169005,0.7753086419753087,0.775234643196665,SKB
KNN,0.7604938271604939,0.7664567006970534,0.7604938271604939,0.7602034589908848,SKB
Decision Tree,0.6790123456790124,0.6740546941319889,0.6790123456790124,0.674565709558119,SKB
Logistic Regression,0.8271604938271605,0.8306976943703425,0.8271604938271605,0.8272875658604565,VT
